what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1622105241093
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105243204
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105260052
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1622105328083
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105333798
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105345976
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1622105346124
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1622105348793
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105354279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105400594
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1622105404570
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1622105411743
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1622105413129
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1622105413454
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1622105415288
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1622105416898
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1622105418424
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1622105462851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1622105468170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105469268
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105479958
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1622105482101
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105484019
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105533021
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105539080
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1622105644389
